"100489132","100489215","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","Lewes"
"100540700","100540927","DCH","US","United States of America","California","Los Angeles"
"100562096","100562147","DCH","RO","Romania","Bucuresti","Bucharest"
"100635874","100635874","DCH","ES","Spain","Madrid, Comunidad de","Madrid"
"134815445","134815445","PUB","US","United States of America","Georgia","Atlanta"
"135180032","135180287","DCH","US","United States of America","Louisiana","Monroe"
"135596800","135597311","DCH","US","United States of America","California","San Francisco"
"136176706","136176706","DCH","US","United States of America","Texas","Austin"
"136499344","136499711","DCH","BE","Belgium","Brussels Hoofdstedelijk Gewest","Brussels"
"137125321","137125323","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"137776896","137778431","DCH","US","United States of America","Georgia","Atlanta"
"140131072","140131327","DCH","US","United States of America","Louisiana","Monroe"
"142617614","142617614","PUB","CN","China","Beijing","Beijing"
"143033507","143033507","PUB","CN","China","Guangdong","Guangzhou"
"143568427","143568427","PUB","CN","China","Beijing","Beijing"
"146107654","146107654","PUB","CN","China","Zhejiang","Hangzhou"
"147892099","147914751","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"147979885","147979885","PUB","JP","Japan","Tokyo","Tokyo"
"148016225","148016286","DCH","HK","Hong Kong","Hong Kong","Hong Kong"
"148079299","148079321","DCH","JP","Japan","Tokyo","Tokyo"
"148247892","148247897","DCH","SG","Singapore","Singapore","Singapore"
"148444037","148444037","PUB","HK","Hong Kong","Hong Kong","Hong Kong"
"148505736","148505739","DCH","HK","Hong Kong","Hong Kong","Hong Kong"
"148547793","148547804","DCH","HK","Hong Kong","Hong Kong","Hong Kong"
"148595124","148595191","DCH","SG","Singapore","Singapore","Singapore"
"148624294","148624311","DCH","SG","Singapore","Singapore","Singapore"
"148803319","148803319","PUB","SG","Singapore","Singapore","Singapore"
"148830231","148830231","PUB","SG","Singapore","Singapore","Singapore"
"149442069","149442069","VPN","US","United States of America","Missouri","Kansas City"
"150193652","150193655","DCH","EC","Ecuador","Guayas","Guayaquil"
"152883131","152883383","DCH","US","United States of America","North Carolina","Durham"
"156814818","156834936","DCH","US","United States of America","North Carolina","Durham"
"160374435","160374435","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"162825776","162825776","PUB","US","United States of America","North Carolina","Durham"
"167721948","167721948","PUB","US","United States of America","North Carolina","Durham"
"212202144","212202159","DCH","US","United States of America","Indiana","Indianapolis"
"214975936","214975943","DCH","US","United States of America","California","Wasco"
"216390992","216390999","DCH","US","United States of America","Texas","Austin"
"220363840","220363967","DCH","ZA","South Africa","Western Cape","Cape Town"
"220505665","220505665","DCH","FR","France","Ile-de-France","Paris"
"220537560","220537719","DCH","FR","France","Ile-de-France","Paris"
"220592452","220592452","PUB","FR","France","Ile-de-France","Paris"
"220605639","220605639","PUB","FR","France","Ile-de-France","Paris"
"220615298","220615298","PUB","FR","France","Ile-de-France","Paris"
"220635688","220635688","PUB","FR","France","Ile-de-France","Paris"
"220701602","220701602","PUB","FR","France","Ile-de-France","Paris"
"220740834","220740852","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"220763089","220763089","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"220808574","220808574","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"220864976","220864976","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"221251200","221251200","PUB","SE","Sweden","Stockholms lan","Stockholm"
"221299948","221299948","VPN","SE","Sweden","Stockholms lan","Stockholm"
"221376601","221376651","DCH","SE","Sweden","Stockholms lan","Stockholm"
"221444923","221444923","PUB","SE","Sweden","Stockholms lan","Stockholm"
"221506866","221506866","PUB","SE","Sweden","Stockholms lan","Stockholm"
"221572091","221572091","PUB","US","United States of America","California","San Francisco"
"221614147","221614253","DCH","SE","Sweden","Stockholms lan","Stockholm"
"221700949","221700949","PUB","AU","Australia","New South Wales","Sydney"
"221794458","221794458","PUB","US","United States of America","California","San Francisco"
"221822302","221822302","PUB","US","United States of America","California","San Francisco"
"221837216","221837216","PUB","US","United States of America","California","San Francisco"
"221849843","221849930","DCH","US","United States of America","California","San Francisco"
"221889223","221889223","PUB","US","United States of America","California","San Francisco"
"221900075","221900077","DCH","US","United States of America","California","San Francisco"
"221921924","221921924","SES","US","United States of America","Ohio","Columbus"
"221950722","221950722","PUB","US","United States of America","Ohio","Columbus"
"221978547","221978547","VPN","US","United States of America","Ohio","Columbus"
"222007066","222007066","PUB","US","United States of America","Ohio","Columbus"
"222034512","222034521","DCH","US","United States of America","Ohio","Columbus"
"222055995","222056003","DCH","SE","Sweden","Stockholms lan","Stockholm"
"222091021","222091025","DCH","SE","Sweden","Stockholms lan","Stockholm"
"222127163","222127163","PUB","SE","Sweden","Stockholms lan","Stockholm"
"222192347","222192347","PUB","SE","Sweden","Stockholms lan","Stockholm"
"222438564","222438564","PUB","US","United States of America","Texas","San Antonio"
"223030233","223030293","DCH","HK","Hong Kong","Hong Kong","Hong Kong"
"223483830","223483830","SES","US","United States of America","Virginia","Washington"
"224169896","224172302","DCH","US","United States of America","Virginia","Washington"
"224984880","224984895","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul"
"225111950","225111950","DCH","US","United States of America","Illinois","Chicago"
"225499998","225499998","PUB","JP","Japan","Tokyo","Tokyo"
"225586231","225586231","PUB","JP","Japan","Tokyo","Tokyo"
"225650593","225650593","PUB","JP","Japan","Tokyo","Tokyo"
"226057874","226057874","PUB","ES","Spain","Madrid, Comunidad de","Madrid"
"226276820","226276906","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul"
"226316806","226316831","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul"
"226347369","226347369","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul"
"226363236","226363236","PUB","IN","India","Maharashtra","Mumbai"
"226413563","226414050","DCH","IN","India","Maharashtra","Mumbai"
"226457733","226457742","DCH","IN","India","Maharashtra","Mumbai"
"226965185","226966174","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"227318447","227318902","DCH","FR","France","Grand-Est","Lauterbourg"
"227480932","227480932","DCH","US","United States of America","Utah","Orem"
"227491360","227491363","DCH","US","United States of America","Utah","Orem"
"227501973","227501974","PUB","JP","Japan","Tokyo","Tokyo"
"228471284","228471353","DCH","JP","Japan","Tokyo","Tokyo"
"230734115","230734127","DCH","JP","Japan","Tokyo","Tokyo"
"231281562","231281739","DCH","IN","India","Maharashtra","Mumbai"
"231301709","231301743","DCH","IN","India","Maharashtra","Mumbai"
"231424613","231424757","DCH","IN","India","Maharashtra","Mumbai"
"231496460","231496947","DCH","IN","India","Maharashtra","Mumbai"
"231676513","231676513","PUB","IN","India","Maharashtra","Mumbai"
"231755303","231755356","DCH","JP","Japan","Osaka","Osaka"
"231781843","231781847","DCH","JP","Japan","Osaka","Osaka"
"231789415","231789425","DCH","JP","Japan","Osaka","Osaka"
"231798217","231798218","DCH","JP","Japan","Osaka","Osaka"
