"281470739271570","281470739271570","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com"
"281470739313414","281470739313414","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com"
"281470739332463","281470739332463","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com"
"281470739389739","281470739389739","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com"
"281470739427005","281470739427010","DCH","JP","Japan","Tokyo","Tokyo","Amazon Data Services Japan","amazon.com"
"281470739466564","281470739466564","PUB","JP","Japan","Tokyo","Tokyo","Amazon Data Services Japan","amazon.com"
"281470739483983","281470739483983","PUB","JP","Japan","Tokyo","Tokyo","Amazon Data Services Japan","amazon.com"
"281470739722530","281470739722530","PUB","US","United States of America","Washington","Seattle","Amazon Technologies Inc.","amazon.com"
"281470739992925","281470739992953","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470740081453","281470740083502","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470740141189","281470740141191","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470740279219","281470740279219","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470740441824","281470740441824","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470740510333","281470740510347","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470740540221","281470740540263","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470740600054","281470740600091","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470740772808","281470740772808","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470740820784","281470740820853","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470740830443","281470740830459","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470740883393","281470740883404","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470740971058","281470740971058","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470740981614","281470740981614","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741047849","281470741047849","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741097902","281470741097903","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741109634","281470741109634","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741150704","281470741150704","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741179591","281470741179895","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741209256","281470741209256","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741303261","281470741303261","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741325201","281470741325201","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741366347","281470741366347","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741412797","281470741412797","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741436991","281470741437009","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741482906","281470741482920","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741511493","281470741511498","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741521877","281470741521903","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741538029","281470741538029","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741549220","281470741549220","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741561699","281470741561717","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741576386","281470741576386","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741587828","281470741587887","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741598406","281470741598411","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741609574","281470741609584","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741623080","281470741623154","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741679127","281470741680605","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741725276","281470741725276","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741800530","281470741800530","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741824143","281470741824145","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741838466","281470741838466","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741899583","281470741899591","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470741938658","281470741938683","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com"
"281470742869546","281470742869562","DCH","FR","France","Provence-Alpes-Cote-d'Azur","Marseille","Amazon Technologies Inc.","amazon.com"
"281470743543610","281470743543611","DCH","FR","France","Provence-Alpes-Cote-d'Azur","Marseille","Amazon.com Inc.","amazon.com"
"281470745718602","281470745719151","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470746199725","281470746199767","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470746552312","281470746552312","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470746957485","281470746957706","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470747233829","281470747234325","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470747430044","281470747430748","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470747516711","281470747516938","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470747581239","281470747581239","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470747652052","281470747652052","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470747709450","281470747709450","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470747765986","281470747765986","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470748377001","281470748377043","DCH","IE","Ireland","Dublin","Dublin","Amazon Data Services Ireland Limited","amazon.com"
"281470748441499","281470748441499","PUB","IE","Ireland","Dublin","Dublin","Amazon Data Services Ireland Limited","amazon.com"
"281470748496666","281470748496666","PUB","IE","Ireland","Dublin","Dublin","Amazon Data Services Ireland Limited","amazon.com"
"281470748623775","281470748623785","DCH","IE","Ireland","Dublin","Dublin","Amazon Data Services Ireland Limited","amazon.com"
"281470748686334","281470748686566","DCH","IE","Ireland","Dublin","Dublin","Amazon Data Services Ireland Limited","amazon.com"
"281470748769998","281470748770040","DCH","IE","Ireland","Dublin","Dublin","Amazon Data Services Ireland Limited","amazon.com"
"281470748853278","281470748853281","DCH","US","United States of America","North Carolina","Durham","Level 3 Communications Inc.","level3.com"
"281470748903069","281470748903069","DCH","US","United States of America","Illinois","Chicago","Level 3 Communications Inc.","level3.com"
"281470748934729","281470748934729","DCH","US","United States of America","New York","New York City","Level 3 Communications Inc.","level3.com"
"281470748948513","281470748948513","DCH","US","United States of America","California","San Jose","Level 3 Communications Inc.","level3.com"
"281470748974275","281470748974280","DCH","US","United States of America","Missouri","Kansas City","Level 3 Communications Inc.","level3.com"
"281470749120512","281470749120820","DCH","US","United States of America","Illinois","Chicago","Level 3 Communications Inc.","level3.com"
"281470749329664","281470749330431","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com"
"281470749408256","281470749409279","DCH","US","United States of America","New Jersey","Newark","Level 3 Communications Inc.","level3.com"
"281470749793367","281470749793456","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com"
"281470749834358","281470749834358","DCH","US","United States of America","North Carolina","Charlotte","Level 3 Communications Inc.","level3.com"
"281470749898817","281470749898818","DCH","US","United States of America","Colorado","Denver","Level 3 Communications Inc.","level3.com"
"281470749932289","281470749932289","VPN","US","United States of America","Pennsylvania","Philadelphia","Level 3 Communications Inc.","level3.com"
"281470750001536","281470750001567","DCH","US","United States of America","Minnesota","Minneapolis","Level 3 Communications Inc.","level3.com"
"281470750148075","281470750148128","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com"
"281470750370696","281470750370696","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com"
"281470750443653","281470750443653","DCH","US","United States of America","District of Columbia","Washington","Level 3 Communications Inc.","level3.com"
"281470750477378","281470750477388","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com"
"281470750493114","281470750493120","DCH","US","United States of America","Texas","Dallas","Level 3 Communications Inc.","level3.com"
"281470750498934","281470750498936","DCH","US","United States of America","Texas","San Antonio","Level 3 Communications Inc.","level3.com"
"281470750503971","281470750503972","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com"
"281470750558503","281470750558752","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com"
"281470750854523","281470750854655","DCH","US","United States of America","Washington","Seattle","Level 3 Communications Inc.","level3.com"
"281470750938890","281470750938896","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc.","level3.com"
"281470751047642","281470751047643","DCH","US","United States of America","Texas","San Antonio","Level 3 Communications Inc.","level3.com"
"281470751177472","281470751178495","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com"
"281470751273194","281470751273194","PUB","US","United States of America","Florida","Orlando","Level 3 Communications Inc.","level3.com"
"281470751395203","281470751395232","DCH","US","United States of America","Arizona","Phoenix","Level 3 Communications Inc.","level3.com"
"281470751640064","281470751640575","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com"
"281470752072873","281470752072874","DCH","US","United States of America","District of Columbia","Washington","Level 3 Communications Inc.","level3.com"
"281470752359631","281470752359644","DCH","US","United States of America","California","Sacramento","Level 3 Communications Inc.","level3.com"
"281470752733872","281470752733952","DCH","US","United States of America","California","Los Angeles","Level 3 Communications Inc.","level3.com"
"281470753271296","281470753271551","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc.","level3.com"
"281470753324891","281470753324892","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com"
"281470753341195","281470753341196","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com"
"281470753410281","281470753410281","DCH","US","United States of America","Texas","Dallas","Level 3 Communications Inc.","level3.com"
"281470753423107","281470753423112","DCH","US","United States of America","New York","New York City","Level 3 Communications Inc.","level3.com"
"281470753430291","281470753430296","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc.","level3.com"
"281470753437698","281470753437698","DCH","US","United States of America","Texas","Dallas","Level 3 Communications Inc.","level3.com"
"281470753739008","281470753739263","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc.","level3.com"
"281470754072650","281470754072650","DCH","US","United States of America","Virginia","Dulles","Level 3 Communications Inc.","level3.com"
"281470755233792","281470755234047","DCH","US","United States of America","Florida","Miami","Level 3 Communications Inc.","level3.com"
"281470756446464","281470756446719","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc.","level3.com"
"281470758287424","281470758287781","DCH","US","United States of America","Washington","Redmond","Microsoft Corporation","microsoft.com"
"281470759095853","281470759095853","PUB","US","United States of America","Virginia","Washington","Microsoft Corporation","microsoft.com"
"281470761358300","281470761369599","DCH","JP","Japan","Osaka","Osaka","Microsoft Corporation","microsoft.com"
"281470762395265","281470762395265","PUB","CA","Canada","Ontario","Toronto","Microsoft Corporation","microsoft.com"
"281470763530730","281470763530730","PUB","SE","Sweden","Gavleborgs lan","Gavle","Microsoft Corporation","microsoft.com"
"281470764145764","281470764145764","PUB","FR","France","Ile-de-France","Paris","Microsoft Corporation","microsoft.com"
"281470764812846","281470764813473","DCH","KR","Korea (the Republic of)","Busan-gwangyeoksi","Busan","Microsoft Corporation","microsoft.com"
"281470765612502","281470765613111","DCH","US","United States of America","Wyoming","Cheyenne","Microsoft Corporation","microsoft.com"
"281470765722982","281470765722984","PUB","IQ","Iraq","Baghdad","Baghdad","Optimal Solutions Technology Company for information Technology and Software Solutions Ltd","optimumsol.net"
"281470766165877","281470766165878","PUB","PL","Poland","Slaskie","Katowice","Petersburg Internet Network Ltd.","pinspb.ru"
"281470766228002","281470766228002","DCH","DE","Germany","Sachsen","Falkenstein","Xiag AG","xiag.ch"
"281470766262787","281470766262833","DCH","DE","Germany","Sachsen","Falkenstein","Hetzner Online GmbH","hetzner.de"
"281470766284189","281470766284189","PUB","DE","Germany","Sachsen","Falkenstein","Hetzner Online GmbH","hetzner.de"
"281470766374232","281470766374239","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","Brookland","Datum Datacentres Limited","attenda.net"
"281470767123535","281470767123548","DCH","NL","Netherlands (Kingdom of the)","Noord-Brabant","Roosendaal","TNGNET B.V.","tngnet.com"
"281470767903506","281470767903506","PUB","US","United States of America","Florida","Miami","Green Floid LLC","greenfloid.com"
"281470767934839","281470767934840","DCH","NL","Netherlands (Kingdom of the)","Noord-Holland","Amsterdam","Servers Tech Fzco","vdsina.com"
"281470767956854","281470767956854","PUB","RU","Russian Federation","Severnaya Osetiya, Respublika","Vladikavkaz","Limited Liability Company Irtelcom","irtelcom.ru"
