"281470718526990","281470718526990","RES","AE","United Arab Emirates","Dubayy","Dubai","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","11","-","Webshare","50"
"281470718545291","281470718545291","RES","AE","United Arab Emirates","Dubayy","Dubai","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","22","-","-","39"
"281470718566227","281470718566227","RES","AE","United Arab Emirates","Ash Shariqah","Sharjah","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","19","-","-","42"
"281470718582367","281470718582367","RES","AE","United Arab Emirates","Ash Shariqah","Sharjah","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","4","-","-","57"
"281470718599096","281470718599096","RES","AE","United Arab Emirates","Ra's al Khaymah","Ras Al Khaimah","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","12","-","-","49"
"281470718612099","281470718612099","RES","AE","United Arab Emirates","Abu Zaby","Al Ain","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","4","-","-","57"
"281470718632249","281470718632249","RES","AE","United Arab Emirates","Abu Zaby","Abu Dhabi","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","21","-","-","40"
"281470718647078","281470718647078","RES","AE","United Arab Emirates","Dubayy","Dubai","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","10","SPAM","-","67"
"281470718667328","281470718667328","RES","AE","United Arab Emirates","Dubayy","Dubai","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","2","-","-","59"
"281470718686117","281470718686117","RES","AE","United Arab Emirates","Dubayy","Dubai","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","7","-","-","54"
"281470718757111","281470718757111","RES","IL","Israel","HaDarom","Ashdod","Partner Communications Ltd.","partner.co.il","ISP/MOB","12400","Partner Communications Ltd.","23","-","-","38"
"281470718974651","281470718974651","RES","RU","Russian Federation","Moskva","Moscow","Inna Grigorevna Khoruzhaya","crelcom.ru","ISP","8219","Inna Grigorevna Khoruzhaya","8","-","-","53"
"281470719016506","281470719016506","VPN","US","United States of America","Texas","Dallas","Clouvider Limited","clouvider.co.uk","DCH","62240","Clouvider Limited","1","SPAM","NordVPN","99"
