"281470719079005","281470719079014","VPN","LT","Lithuania","Vilniaus apskritis","Vilnius","DC01","he.net","DCH","203020","HostRoyale Technologies Pvt Ltd","1","-","-"
"281470719116025","281470719116025","PUB","DE","Germany","Hessen","Frankfurt am Main","Fornex Hosting S.L.","fornex.com","DCH","44051","Fornex Hosting S.L.","30","-","-"
"281470719141983","281470719141983","RES","BE","Belgium","Brussels Hoofdstedelijk Gewest","Brussels","Giganet Internet Szolgaltato Kft","giganet.hu","ISP","5065","Bunny Communications","28","-","-"
"281470719169601","281470719169602","VPN","IT","Italy","Lazio","Rome","RapidSeedbox Ltd","rapidseedbox.com","DCH","60781","Leaseweb Netherlands B.V.","1","-","RapidSeedbox"
"281470719204747","281470719204747","VPN","US","United States of America","Florida","Miami","PacketHub S.A.","nordvpn.com","DCH","141039","PacketHub S.A.","1","-","NordVPN"
"281470719237025","281470719237025","RES","RU","Russian Federation","Omskaya oblast'","Omsk","OJSC Sibirtelecom","sibirtelecom.ru","ISP","12389","PJSC Rostelecom","6","-","-"
"281470719289715","281470719289715","RES","RU","Russian Federation","Omskaya oblast'","Omsk","OJSC Sibirtelecom","sibirtelecom.ru","ISP","12389","PJSC Rostelecom","11","-","-"
"281470719336676","281470719336676","RES","RU","Russian Federation","Khakasiya, Respublika","Abakan","OJSC Sibirtelecom","sibirtelecom.ru","ISP","12389","PJSC Rostelecom","5","-","-"
"281470719396688","281470719396688","RES","RU","Russian Federation","Novosibirskaya oblast'","Novosibirsk","OJSC Sibirtelecom","sibirtelecom.ru","ISP","12389","PJSC Rostelecom","9","-","-"
"281470719466094","281470719466094","RES","RU","Russian Federation","Krasnodarskiy kray","Taman'","Miranda Media Net","miranda-media.net","ISP/MOB","201776","Miranda-Media Ltd","24","-","-"
"281470719486048","281470719486048","RES","RU","Russian Federation","Krasnodarskiy kray","Il'ich","Leasing MM","avangarddsl.ru","ISP","201776","Miranda-Media Ltd","23","-","-"
"281470720025384","281470720025384","RES","KZ","Kazakhstan","Almaty","Almaty","Kcell JSC","kcell.kz","ISP/MOB","29355","Kcell JSC","17","-","-"
"281470720098498","281470720098498","RES","KZ","Kazakhstan","Almaty","Almaty","Kcell JSC","kcell.kz","ISP/MOB","29355","Kcell JSC","3","-","-"
"281470720234472","281470720234472","RES","KZ","Kazakhstan","Aqmola oblysy","Shantobe","Kcell JSC","kcell.kz","ISP/MOB","29355","Kcell JSC","11","-","-"
"281470720297796","281470720297796","RES","KZ","Kazakhstan","Astana","Astana","Kcell JSC","kcell.kz","ISP/MOB","29355","Kcell JSC","11","-","-"
"281470720456943","281470720456943","RES","KZ","Kazakhstan","Batys Qazaqstan oblysy","Oral","Kcell JSC","kcell.kz","ISP/MOB","29355","Kcell JSC","14","-","-"
"281470720506876","281470720506876","RES","KZ","Kazakhstan","Atyrau oblysy","Atyrau","Kcell JSC","kcell.kz","ISP/MOB","29355","Kcell JSC","2","-","-"
"281470720564705","281470720564705","RES","PT","Portugal","Santarem","Tramagal","PT Comunicacoes S.A.","telepac.pt","ISP/MOB","3243","MEO - Servicos de Comunicacoes e Multimedia S.A.","20","-","-"
"281470720652314","281470720652314","RES","PT","Portugal","Lisboa","Lisbon","PT Comunicacoes S.A.","telepac.pt","ISP/MOB","3243","MEO - Servicos de Comunicacoes e Multimedia S.A.","20","-","-"
"281470720744385","281470720744385","RES","PT","Portugal","Aveiro","Agueda","PT Comunicacoes S.A.","telepac.pt","ISP/MOB","3243","MEO - Servicos de Comunicacoes e Multimedia S.A.","8","-","-"
"281470720827973","281470720827973","RES","GR","Greece","Attiki","Athens","Otenet","otenet.gr","ISP/MOB","6799","Ote SA (Hellenic Telecommunications Organisation)","29","-","-"
"281470720936231","281470720936231","RES","GR","Greece","Attiki","Athens","Otenet","otenet.gr","ISP/MOB","6799","Ote SA (Hellenic Telecommunications Organisation)","3","-","-"
"281470720991919","281470720991919","RES","GR","Greece","Notio Aigaio","Ios","Otenet","otenet.gr","ISP/MOB","6799","Ote SA (Hellenic Telecommunications Organisation)","4","-","-"
