"69195530","69195536","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc.","level3.com","DCH"
"69304282","69304283","DCH","US","United States of America","Texas","San Antonio","Level 3 Communications Inc.","level3.com","DCH"
"69434112","69435135","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com","DCH"
"69529834","69529834","PUB","US","United States of America","Florida","Orlando","Level 3 Communications Inc.","level3.com","DCH"
"69651843","69651872","DCH","US","United States of America","Arizona","Phoenix","Level 3 Communications Inc.","level3.com","DCH"
"69896704","69897215","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com","DCH"
"70329513","70329514","DCH","US","United States of America","District of Columbia","Washington","Level 3 Communications Inc.","level3.com","DCH"
"70616271","70616284","DCH","US","United States of America","California","Sacramento","Level 3 Communications Inc.","level3.com","DCH"
"70990512","70990592","DCH","US","United States of America","California","Los Angeles","Level 3 Communications Inc.","level3.com","DCH"
"71527936","71528191","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc.","level3.com","DCH"
"71581531","71581532","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com","DCH"
"71597835","71597836","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com","DCH"
"71666921","71666921","DCH","US","United States of America","Texas","Dallas","Level 3 Communications Inc.","level3.com","DCH"
"71679747","71679752","DCH","US","United States of America","New York","New York City","Level 3 Communications Inc.","level3.com","DCH"
"71686931","71686936","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc.","level3.com","DCH"
"71694338","71694338","DCH","US","United States of America","Texas","Dallas","Level 3 Communications Inc.","level3.com","DCH"
"71995648","71995903","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc.","level3.com","DCH"
"72329290","72329290","DCH","US","United States of America","Virginia","Dulles","Level 3 Communications Inc.","level3.com","DCH"
"73490432","73490687","DCH","US","United States of America","Florida","Miami","Level 3 Communications Inc.","level3.com","DCH"
"74703104","74703359","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc.","level3.com","DCH"
"76544064","76544421","DCH","US","United States of America","Washington","Redmond","Microsoft Corporation","microsoft.com","DCH"
"77340073","77340282","DCH","US","United States of America","Virginia","Washington","Microsoft Corporation","microsoft.com","DCH"
"79610928","79610928","PUB","JP","Japan","Osaka","Osaka","Microsoft Corporation","microsoft.com","DCH"
"80642508","80644491","DCH","CA","Canada","Ontario","Toronto","Microsoft Corporation","microsoft.com","DCH"
"81787282","81787304","DCH","SE","Sweden","Gavleborgs lan","Gavle","Microsoft Corporation","microsoft.com","DCH"
"82402277","82402299","DCH","FR","France","Ile-de-France","Paris","Microsoft Corporation","microsoft.com","DCH"
"83043505","83043505","PUB","KR","Korea (the Republic of)","Busan-gwangyeoksi","Busan","Microsoft Corporation","microsoft.com","DCH"
"83866846","83866846","PUB","US","United States of America","Wyoming","Cheyenne","Microsoft Corporation","microsoft.com","DCH"
"83979611","83979611","DCH","IQ","Iraq","Baghdad","Baghdad","Optimal Solutions Technology Company for information Technology and Software Solutions Ltd","optimumsol.net","DCH"
"84422501","84422504","DCH","PL","Poland","Slaskie","Katowice","Petersburg Internet Network Ltd.","pinspb.ru","DCH"
