"67612004","67612004","VPN","US","United States of America","New York","New York City","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"68037377","68037378","DCH","US","United States of America","California","Los Angeles","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"68068467","68068489","DCH","US","United States of America","Ohio","Cincinnati","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"68115574","68115574","DCH","US","United States of America","New York","New York City","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"68169902","68169902","DCH","CA","Canada","Ontario","Toronto","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"68206101","68206102","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"68373689","68373759","DCH","US","United States of America","Minnesota","Minneapolis","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"68693795","68693797","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"68718150","68718152","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"68741497","68741497","DCH","US","United States of America","Ohio","Cleveland","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"68760805","68760806","DCH","US","United States of America","Florida","Tampa","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"68823682","68823682","DCH","US","United States of America","Ohio","Cleveland","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"69111914","69111914","VPN","US","United States of America","California","San Jose","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"69186165","69186166","DCH","US","United States of America","Florida","Tampa","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"69300642","69300659","DCH","US","United States of America","Colorado","Broomfield","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"69420162","69420253","DCH","US","United States of America","California","San Jose","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"69512395","69512395","VPN","US","United States of America","Michigan","Ann Arbor","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"69651178","69651178","VPN","US","United States of America","Arizona","Phoenix","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"69933930","69933930","VPN","US","United States of America","Arizona","Phoenix","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"70604864","70604927","DCH","US","United States of America","New York","New York City","Gotham Web Services Inc.","gothamweb.com","DCH","3356","Level 3 Parent LLC"
"71014121","71014122","DCH","US","United States of America","New Jersey","Newark","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"71575305","71575305","DCH","US","United States of America","New York","New York City","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"71585665","71585667","DCH","US","United States of America","Colorado","Broomfield","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
